timestamp,Latitude,Longitude,ax,ay,az
1708513119.86,10.87619781,106.8015442,1.38,-0.17,9.79
1708513120.3,10.87619781,106.8015442,-0.37,-0.83,8.28
1708513120.43,10.87619781,106.8015442,-1.56,0.8,12.28
1708513120.62,10.87619781,106.8015442,1.54,-0.46,10.07
1708513120.7,10.87619781,106.8015442,-0.53,-0.81,9.31
1708513120.78,10.87619781,106.8015442,0.21,1.18,9.49
1708513120.86,10.87614632,106.8015594,0.14,-0.36,11.69
1708513121.3,10.87614632,106.8015594,-0.11,-0.6,9.7
1708513121.43,10.87614632,106.8015594,-0.27,-0.6,9.4
1708513121.61,10.87614632,106.8015594,0.2,-0.13,10.37
1708513121.69,10.87614632,106.8015594,0.46,-0.15,9.08
1708513121.79,10.87614632,106.8015594,-1.23,0.54,8.91
1708513121.86,10.87608147,106.8015442,-0.36,0.44,10.6
1708513122.3,10.87608147,106.8015442,-0.62,-0.26,8.25
1708513122.42,10.87608147,106.8015442,0.48,-0.02,10.28
1708513122.55,10.87608147,106.8015442,-1.57,-0.13,10.2
1708513122.64,10.87608147,106.8015442,0.2,0.41,11.07
1708513122.72,10.87608147,106.8015442,-1.09,-0.17,9.33
1708513122.82,10.8760252,106.8015442,-1.15,-0.34,10.49
1708513123.29,10.8760252,106.8015442,0.67,0.66,9.73
1708513123.42,10.8760252,106.8015442,-0.95,0.19,12.67
1708513123.55,10.8760252,106.8015442,0.76,0.21,9.94
1708513123.63,10.8760252,106.8015442,-0.19,-0.73,8.94
1708513123.72,10.8760252,106.8015442,-1.71,0.3,9.32
1708513123.82,10.87595177,106.8015518,-0.89,-0.26,10.55
1708513124.29,10.87595177,106.8015518,-0.05,-0.26,8.56
1708513124.41,10.87595177,106.8015518,-0.4,-0.33,8.87
1708513124.55,10.87595177,106.8015518,-1.25,0.22,10.23
1708513124.64,10.87595177,106.8015518,-0.14,-0.39,9.6
1708513124.72,10.87595177,106.8015518,-1.09,0.92,11.74
1708513124.81,10.87589073,106.8015518,-1.18,-0.98,9.54
1708513125.3,10.87589073,106.8015518,-1.63,0.33,11.52
